"Country","geoID","Flag","02/03/2020","03/03/2020","04/03/2020","05/03/2020","06/03/2020","07/03/2020","08/03/2020","09/03/2020","10/03/2020","11/03/2020","12/03/2020","13/03/2020","14/03/2020","15/03/2020","16/03/2020","17/03/2020","18/03/2020","19/03/2020","20/03/2020","21/03/2020","22/03/2020","23/03/2020","24/03/2020","25/03/2020","26/03/2020","27/03/2020","28/03/2020","29/03/2020","30/03/2020","31/03/2020","01/04/2020","02/04/2020","03/04/2020","04/04/2020","05/04/2020","06/04/2020","07/04/2020","08/04/2020","09/04/2020","10/04/2020"
"Cuba","CU","https://www.countryflags.io/cu/flat/64.png",0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,7,11,16,21,25,35,40,48,57,67,80,119,139,170,186,212,233,269,288,320,350,396,457,515
"Haiti","HT","https://www.countryflags.io/ht/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,7,8,8,8,8,15,15,15,16,18,18,21,21,24,25,27,30
"Dominican Republic","DO","https://www.countryflags.io/do/flat/64.png",1,1,1,1,1,2,2,2,5,5,5,5,11,11,11,11,11,21,21,34,112,202,245,312,392,488,581,719,859,901,1109,1284,1380,1488,1578,1745,1828,1956,2111,2349
"Puerto Rico","PR","https://www.countryflags.io/pr/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,100,127,174,239,286,316,378,452,475,513,573,620,683
"Jamaica","JM","https://www.countryflags.io/jm/flat/64.png",0,0,0,0,0,0,0,0,0,0,2,6,8,8,10,10,13,15,16,19,19,19,19,21,25,26,26,32,34,38,38,44,47,53,55,58,59,63,63,63
"Trinidad and Tobago","TT","https://www.countryflags.io/tt/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,7,9,9,9,49,50,51,57,60,65,66,74,78,85,87,89,97,100,103,104,105,107,107,109
"Guyana","GY","https://www.countryflags.io/gy/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,5,5,5,5,5,5,5,5,5,5,8,8,8,12,19,19,23,24,29,31,33,37,37
"Suriname","SR","https://www.countryflags.io/sr/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5,5,6,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10
"Guadeloupe","GP","https://www.countryflags.io/gp/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Martinique","MQ","https://www.countryflags.io/mq/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas","BS","https://www.countryflags.io/bs/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,4,4,4,4,4,5,9,9,11,14,14,15,21,24,24,28,29,33,36,40,41
"Belize","BZ","https://www.countryflags.io/bz/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,4,4,5,7,7,8,9
"Barbados","BB","https://www.countryflags.io/bb/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,14,17,17,18,18,24,24,26,33,34,34,45,45,45,51,56,60,63,63,66
"Saint Lucia","LC","https://www.countryflags.io/lc/flat/64.png",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,9,9,13,13,13,13,14,14,14,14,14,14
